AID,Sex,MinAge,SurveyDate,avg TOO_TOHcm,avg TOH_NIcm,avg NI_FBHcm,TH,VTB_Umb,age_class_mid_mo,age_months_initial,age_months,VTB_Umb_Flag,age_at_first_months
1155.0,F,A,2013-09-22,12.1,175.5,,,0.0,60.0,60.0,80.19341742986244,Umb=0,64.07499637723086
1155.0,F,A,2014-10-04,13.6,188.9,,,0.0,60.0,60.0,92.59473321933612,Umb=0,64.07499637723086
1155.0,F,A,2015-01-19,11.35,146.1,,,0.0,60.0,60.0,96.11447006144138,Umb=0,64.07499637723086
1155.0,F,A,2018-10-02,12.1,187.1,,,0.0,60.0,60.0,140.5881542719677,Umb=0,64.07499637723086
1156.0,F,A,2012-05-20,39.8,161.2,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1156.0,F,A,2015-02-06,13.333333333333334,166.36666666666667,,,0.0,60.0,60.0,92.63157894736842,Umb=0,60.0
1156.0,F,A,2017-01-22,13.3,192.9,227.6,433.8,0.0,60.0,60.0,116.1842105263158,Umb=0,60.0
1156.0,F,A,2018-01-24,10.6,181.3,,,0.0,60.0,60.0,128.25657894736844,Umb=0,60.0
1156.0,F,A,2018-10-02,13.2,190.1,,,0.0,60.0,60.0,136.51315789473685,Umb=0,60.0
1157.0,M,A,2012-05-20,17.8,226.9,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1157.0,M,A,2012-09-24,18.9,234.9,,,0.0,60.0,60.0,64.17763157894737,Umb=0,60.0
1157.0,M,A,2015-02-06,18.4,213.8,,,0.0,60.0,60.0,92.63157894736842,Umb=0,60.0
1158.0,F,A,2014-02-09,13.8,189.9,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1159.0,F,A,2013-09-22,8.8,179.4,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1159.0,F,A,2015-01-19,9.5,162.1,,,0.0,60.0,60.0,75.92105263157895,Umb=0,60.0
1160.0,F,A,2012-10-09,14.9,173.1,,,0.0,60.0,60.0,39.20652801172654,Umb=0,39.20652801172654
1160.0,F,A,2013-02-05,14.4,139.8,,,0.0,60.0,60.0,43.12100169593707,Umb=0,39.20652801172654
1160.0,F,A,2014-05-19,11.5,169.6,,,0.0,60.0,60.0,58.51573853804233,Umb=0,39.20652801172654
1160.0,F,A,2015-10-27,13.3,137.4,,,0.0,60.0,60.0,75.8183701169897,Umb=0,39.20652801172654
1160.0,F,A,2016-10-04,12.5,194.4,,,0.0,60.0,60.0,87.10126485383181,Umb=0,39.20652801172654
1160.0,F,A,2017-02-11,,,,,0.0,60.0,60.0,91.37758064330549,Umb=0,39.20652801172654
1160.0,F,A,2018-06-06,10.7,173.2,,,0.0,60.0,60.0,107.16705432751601,Umb=0,39.20652801172654
1160.0,F,A,2018-09-25,13.0,150.9,,,0.0,60.0,60.0,110.81837011698971,Umb=0,39.20652801172654
1161.0,F,SA,2012-05-20,13.5,186.0,,,0.0,10.5,10.5,10.5,Umb=0,10.5
1162.0,F,A,2012-09-24,15.7,186.4,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1162.0,F,A,2013-02-05,11.6,185.8,,,0.0,60.0,60.0,64.40789473684211,Umb=0,60.0
1163.0,M,A,2012-05-20,18.3,203.5,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1163.0,M,A,2012-10-09,19.5,247.1,,,0.0,60.0,60.0,64.67105263157895,Umb=0,60.0
1163.0,M,A,2016-01-21,18.9,238.4,,,0.0,60.0,60.0,104.11184210526315,Umb=0,60.0
1163.0,M,A,2016-05-14,14.4,215.0,,,0.0,60.0,60.0,107.86184210526315,Umb=0,60.0
1163.0,M,A,2017-05-26,15.7,183.7,,,0.0,60.0,60.0,120.26315789473685,Umb=0,60.0
1164.0,M,A,2014-02-09,14.6,159.2,,,0.0,60.0,60.0,60.0,Umb=0,60.0
