context,measurement,descriptor,group,model,success,aic,sse,n_obs,message,is_selected,params
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,gompertz,True,11131.154739973268,1479665.3539272025,1634,,True,"A=228.5 [225.5, 231.5]; k=0.04351 [0.03763, 0.04939]; t0=-17.43 [-20.3, -14.56]"
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,logistic,True,11134.020848105245,1482263.0298300423,1634,,False,"A=227.8 [225, 230.6]; k=0.04962 [0.04321, 0.05603]; t0=-10.87 [-13.04, -8.706]"
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,poly3,True,11097.055041857042,1447333.8090791742,1634,,False,a3=0.000124; a2=-0.03229; a1=2.785; a0=143.5
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,richards,True,11133.183075014733,1479691.012888451,1634,,False,"A=228.5 [224.6, 232.3]; k=0.04357 [0.02338, 0.06376]; t0=-17.36 [-40.93, 6.215]; nu=0.01 [-3.167, 3.187]"
wild_alignment_seed_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,von_bertalanffy,True,11130.217340083393,1478816.7368188794,1634,,False,"A=228.8 [225.7, 231.8]; k=0.04152 [0.0358, 0.04724]; t0=-46.42 [-53.14, -39.71]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),F,gompertz,True,35040.97241405686,2643186.6459595836,5708,,True,"A=180.4 [179.4, 181.5]; k=0.0466 [0.0437, 0.0495]; t0=-11.76 [-12.94, -10.58]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),F,logistic,True,35052.52505195088,2648541.70908597,5708,,False,"A=179.8 [178.8, 180.8]; k=0.05363 [0.05041, 0.05686]; t0=-5.324 [-6.247, -4.401]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),F,poly3,True,35051.20145500463,2646999.9916956257,5708,,False,a3=9.754e-05; a2=-0.02686; a1=2.461; a0=102.9
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),F,richards,True,35043.075394452535,2643234.3332164264,5708,,False,"A=180.4 [179, 181.8]; k=0.04667 [0.03766, 0.05568]; t0=-11.68 [-20.35, -3.021]; nu=0.01 [-1.151, 1.171]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),F,von_bertalanffy,True,35037.7289348771,2641685.124315104,5708,,False,"A=180.7 [179.6, 181.8]; k=0.04429 [0.04149, 0.04709]; t0=-39.08 [-41.88, -36.28]"
wild_alignment_seed_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),M,gompertz,True,22427.38721414645,2217367.688593503,3471,,True,"A=213.6 [211, 216.2]; k=0.03279 [0.0306, 0.03498]; t0=-9.538 [-10.6, -8.471]"
