file,AID,MinAge,Sex,VTB_Umb,survey index,SurveyDate(M/D/Y),avg TOO_TOHcm,SD TOO_TOHcm,# TOO_TOH,avg TOO_NIcm,SD TOO_NIcm,avg TOH_NIcm,SD TOH_NIcm,# TOH_NI,avg NI_FBHcm,SD NI_FBHcm,# NI_FBH,avg TOO_FBHcm,SD TOO_FBHcm,avg TOH_FBHcm,SD TOH_FBHcm,,,,,
2018June_9148.JPG,12,A,F,,20.2,6/6/2018,11.0,1.0,4,193.9,3.7,187.1,3.7,4,,,,,,,,,,,,
2012FEB.IMG_0054.JPG,13,A,M,,1.2,2/7/2012,16.7,2.0,4,217.7,10.6,202.4,6.9,4,,,,,,,,,,,,
2013Jun.IMG_3965.JPG,13,A,M,,5.2,6/5/2013,18.9,3.5,5,230.7,5.5,215.4,6.4,5,,,,,,,,,,,,
2014FebIMG_1021.JPG,13,A,M,,7.2,2/9/2014,18.8,5.2,5,237.4,16.7,220.4,11.3,5,,,,,,,,,,,,
2015Jan_IMG_9076.JPG,13,A,M,,10.1,1/19/2015,20.2,2.6,5,242.9,0.4,229.4,4.5,5,,,,,,,,,,,,
2015Feb_IMG_0665.JPG,13,A,M,,10.2,2/6/2015,16.5,2.7,5,207.5,3.5,196.0,2.9,5,,,,,,,,,,,,
2012FEB.IMG_0040.JPG,14,A,F,,1.2,2/7/2012,49.0,82.5,5,194.5,10.5,203.6,34.6,5,,,,,,,,,,,,
2012May.IMG_3035.JPG,14,A,F,,2.1,5/20/2012,16.8,6.6,4,246.4,95.0,232.5,87.6,4,,,,,,,,,,,,
2014JanIMG_9920.JPG,14,A,F,,7.1,1/19/2014,11.3,1.4,5,184.9,6.1,177.9,7.5,4,,,,,,,,,,,,
2014JanIMG_9921.JPG,14,A,F,,7.1,1/19/2014,13.3,0.9,4,194.9,3.0,182.9,3.6,3,,,,,,,,,,,,
2014JanIMG_9922.JPG,14,A,F,,7.1,1/19/2014,13.0,3.5,3,192.7,1.3,185.2,5.8,3,,,,,,,,,,,,
2014May_IMG_3008.JPG,14,A,F,,8.1,5/19/2014,15.1,1.5,3,197.0,11.4,192.3,2.6,3,,,,,,,,,,,,
2015Feb_IMG_0675.JPG,14,A,F,,10.2,2/6/2015,12.2,0.8,6,187.4,4.4,180.6,1.6,6,,,,,,,,,,,,
2015Jun_383A2959.JPG,14,A,F,,11.2,6/3/2015,13.5,4.9,4,146.1,65.1,134.4,66.9,4,,,,,,,,,,,,
2015Jun_383A2986.JPG,14,A,F,,11.2,6/3/2015,29.2,28.5,5,163.7,40.6,156.4,60.3,5,,,,,,,,,,,,
2016Jan_383A8010.JPG,14,A,F,,13.1,1/21/2016,9.6,1.3,4,154.3,5.2,147.4,2.4,4,,,,,,,,,,,,
2016Oct_383A5075.JPG,14,A,F,,15.2,10/4/2016,11.9,2.3,5,172.8,11.7,166.6,7.0,5,191.5,5.6,5,350.6,14.5,342.4,12.3,,,,,
2012May.IMG_2634.JPG,15,A,M,,2.1,5/20/2012,19.2,1.3,7,184.8,1.5,168.1,3.8,7,,,,,,,,,,,,
2013Feb.IMG_9836.JPG,15,A,M,,4.2,2/5/2013,25.7,7.3,3,206.9,1.0,187.8,1.1,3,,,,,,,,,,,,
2014JanIMG_0012.JPG,15,A,M,,7.1,1/19/2014,22.2,10.0,4,196.0,1.2,178.8,1.3,4,,,,,,,,,,,,
2015Jun_383A2833.JPG,15,A,M,,11.2,6/3/2015,22.2,7.8,5,219.6,12.4,200.7,16.5,5,,,,,,,,,,,,
2015Jun_383A3276.JPG,15,A,M,,11.2,6/3/2015,22.8,5.5,4,214.5,2.8,201.3,6.6,4,,,,,,,,,,,,
2016May_383A1488.JPG,15,A,M,,14.1,5/14/2016,19.4,1.0,5,235.3,8.4,221.7,5.8,5,,,,,,,,,,,,
2017May_383A9438.JPG,15,A,M,,17.1,5/26/2017,23.0,5.2,6,231.4,5.6,213.2,9.2,6,,,,428.3,17.1,410.3,18.5,,,,,
2017Jun_383A0593.JPG,15,A,M,,17.2,6/4/2017,17.9,0.7,4,225.4,2.0,208.7,1.5,4,,,,,,,,,,,,
